time,3175_bus,3175_metro
0,1531.399999999999,4935.0
1,523.9000000000001,2585.0
2,40.3,1880.0
3,80.6,1880.0
4,40.3,1175.0
5,846.2999999999997,2820.0
6,2216.499999999999,5405.0
7,2538.9000000000005,5640.0
8,3103.100000000003,4935.0
9,2982.2000000000025,5640.0
10,3304.600000000004,4935.0
11,3264.300000000004,4935.0
12,3143.4000000000033,5405.0
13,3344.900000000004,5640.0
14,3465.8000000000047,4935.0
15,3103.100000000003,4700.0
16,3546.400000000005,3290.0
17,3143.4000000000033,3290.0
18,3183.7000000000035,3525.0
19,2619.500000000001,5640.0
20,2297.0999999999995,5405.0
21,1934.3999999999985,4465.0
22,1853.7999999999986,4700.0
23,1894.0999999999985,4935.0
