Unit;ref_unit;Units_Fmin;Units_Fmax;Cost_inv1;Cost_inv2;GWP_unit1;GWP_unit2;lifetime;UnitOfType;UnitOfLayer;UnitOfService;StreamsOfUnit;Units_flowrate_in;Units_flowrate_out;stream_Tin;stream_Tout;References
NG_Boiler;kWth;0.1;100000;5000;200;500;10;20;NG_Boiler;NaturalGas/ HeatCascade;DHW/ SH;h_ht;NaturalGas;;80;60;`Vaillant.ch <https://www.vaillant.ch/downloads/preisliste/franzoesisch-3/liste-de-prix-chaudires-murales-gaz-systmes-dvacuation-de-gaz-brls-prtirage-04-2021-2041428.pdf>`_
HeatPump_Air_10;kWth;2;20;10000;2000;1500;20;20;HeatPump;HeatCascade/ Electricity;DHW/ SH;h_ht/ h_mt/ h_lt;Electricity;;55/ 45/ 35;50/40/30;`Vaillant.ch <https://www.vaillant.ch/particuliers/guide-du-chauffage/comprendre-le-chauffage/pompes-a-chaleur/kosten-warmepumpe/>`_
HeatPump_Air_50;kWth;10;100;25000;1500;2500;15;20;HeatPump;HeatCascade/ Electricity;DHW/ SH;h_ht/ h_mt/ h_lt;Electricity;;55/ 45/ 35;50/40/30;`Vaillant.ch <https://www.vaillant.ch/particuliers/guide-du-chauffage/comprendre-le-chauffage/pompes-a-chaleur/kosten-warmepumpe/>`_
HeatPump_Air_400;kWth;60;2000;100000;1000;4000;10;20;HeatPump;HeatCascade/ Electricity;DHW/ SH;h_ht/ h_mt/ h_lt;Electricity;;55/ 45/ 35;50/40/30;`Vaillant.ch <https://www.vaillant.ch/particuliers/guide-du-chauffage/comprendre-le-chauffage/pompes-a-chaleur/kosten-warmepumpe/>`_
AirConditioner;kWth;0.1;100000;3000;200;500;20;20;AirConditioner;HeatCascade/ Electricity;Cooling;c_ht/ c_mt/ c_lt;Electricity;"";13/ 15/ 18;14/ 16/ 19;`Viesmann <https://www.viessmann.ch/fr/connaissances/technique-et-systemes.html>`_
ElectricalHeater_SH;kWth;0.1;100000;1000;50;100;5;20;ElectricalHeater;HeatCascade/ Electricity;SH;h_ht;Electricity;;80;60;`SCDI <https://www.scdi.ch/fr/naturay-ultime-connecte-3.html>`_
ElectricalHeater_DHW;kWth;0.1;100000;2000;100;200;5;20;ElectricalHeater;HeatCascade/ Electricity;DHW;h_ht;Electricity;;80;60;`SCDI <https://scdi.ch/fr/chauffe-eau-electrique-sur-socle-atlantic.html>`_
PV_20;kWe;1;100;10000;1300;200;1000;30;PV;Electricity;;;"";Electricity;;;`Helvetia Energy <https://www.helvetia-energy.ch/prix-moyen-panneaux-solaires-suisse/>`_
PV_100;kWe;50;1000;25000;1000;200;1000;30;PV;Electricity;;;"";Electricity;;;`Helvetia Energy <https://www.helvetia-energy.ch/prix-moyen-panneaux-solaires-suisse/>`_
Battery_10;kWh;5;50;5000;500;100;100;15;Battery;Electricity;;;Electricity;Electricity;;;`Tesla Powerwall <https://www.tesla.com/fr_ch/powerwall>`_
Battery_100;kWh;30;2000;20000;200;100;100;15;Battery;Electricity;;;Electricity;Electricity;;;`Tesla Powerwall <https://www.tesla.com/fr_ch/powerwall>`_
WaterTankSH;L;0.1;100000;2000;2;200;1;20;WaterTankSH;HeatCascade;SH;h_ht/ c_lt;;;35/ 35;35/ 35;`Viesmann <https://www.viessmann.ch/fr/connaissances/technique-et-systemes.html>`_
WaterTankDHW;L;0.1;100000;2000;2;200;1;20;WaterTankDHW;HeatCascade;DHW;c_ht ;;;10;60;`Viesmann <https://www.viessmann.ch/fr/connaissances/technique-et-systemes.html>`_
ThermalSolar;m2;0.1;100000;6000;800;500;75;20;ThermalSolar;HeatCascade;DHW;h_ht;;;62;48;""
